"taxonID","description","type","language"
"alien-plants-belgium:taxon:2599b1a35ff1fe4c48aaf546e67290a9","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2599b1a35ff1fe4c48aaf546e67290a9","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:2599b1a35ff1fe4c48aaf546e67290a9","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2599b1a35ff1fe4c48aaf546e67290a9","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:259a7c5cbd5256d8c67755b6e2771cf3","introduced","origin","en"
"alien-plants-belgium:taxon:259a7c5cbd5256d8c67755b6e2771cf3","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:259a7c5cbd5256d8c67755b6e2771cf3","cbd_2014_pathway:contaminant_habitat_material","pathway","en"
"alien-plants-belgium:taxon:259c276d91a24fcac3720ed5432527b1","vagrant","origin","en"
"alien-plants-belgium:taxon:259c276d91a24fcac3720ed5432527b1","Southern America (WGSRPD:8)","native range","en"
"alien-plants-belgium:taxon:259c276d91a24fcac3720ed5432527b1","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:259c276d91a24fcac3720ed5432527b1","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:259d2a1dc5e3064101128eb88efb9e38","introduced","origin","en"
"alien-plants-belgium:taxon:259d2a1dc5e3064101128eb88efb9e38","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:25bbbc09227f27589439f83b3cd55034","vagrant","origin","en"
"alien-plants-belgium:taxon:25bbbc09227f27589439f83b3cd55034","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:25bbbc09227f27589439f83b3cd55034","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:25e0c6ca69098476c7373bf0c88ac984","introduced","origin","en"
"alien-plants-belgium:taxon:25e0c6ca69098476c7373bf0c88ac984","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:25e0c6ca69098476c7373bf0c88ac984","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:25fe9e91567f7f8f5a6d74f803a02c5b","vagrant","origin","en"
"alien-plants-belgium:taxon:25fe9e91567f7f8f5a6d74f803a02c5b","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:25fe9e91567f7f8f5a6d74f803a02c5b","Asia","native range","en"
"alien-plants-belgium:taxon:25fe9e91567f7f8f5a6d74f803a02c5b","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:25fe9e91567f7f8f5a6d74f803a02c5b","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:2629e76b2d32515f3b95fcac4e885e4d","vagrant","origin","en"
"alien-plants-belgium:taxon:2629e76b2d32515f3b95fcac4e885e4d","Pantropical","native range","en"
"alien-plants-belgium:taxon:2629e76b2d32515f3b95fcac4e885e4d","cbd_2014_pathway:escape_agriculture","pathway","en"
"alien-plants-belgium:taxon:262c85a3963c17afc97e36cb4c7bf172","introduced","origin","en"
"alien-plants-belgium:taxon:262c85a3963c17afc97e36cb4c7bf172","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:262c85a3963c17afc97e36cb4c7bf172","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:262c85a3963c17afc97e36cb4c7bf172","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:262c85a3963c17afc97e36cb4c7bf172","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2634328fd4e52c3a9a3ba563c1f0e26a","vagrant","origin","en"
"alien-plants-belgium:taxon:2634328fd4e52c3a9a3ba563c1f0e26a","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2634328fd4e52c3a9a3ba563c1f0e26a","Africa (WGSRPD:2)","native range","en"
