"id","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate"
271,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1885/1886"
272,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1955"
273,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2008"
274,"ISO_3166-2:BE","Belgium","BE","present","","1971"
275,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1953/2011"
276,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1908/2014"
277,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1952"
278,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1883/2017"
279,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material","1917/2017"
280,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1829/2012"
281,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material","1991"
282,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1911/2016"
283,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1998/1999"
284,"ISO_3166-2:BE","Belgium","BE","present","","1913/1932"
285,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1850/2017"
286,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2005/2015"
287,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1828/2012"
288,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1902/2014"
289,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1872/2016"
290,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1893/1900"
291,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1891/2017"
292,"ISO_3166-2:BE","Belgium","BE","present","","1944/1957"
293,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1895/2017"
294,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2001/2017"
295,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1817/2017"
296,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture | contaminant:on_animals","1902/2016"
297,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1850/1949"
298,"ISO_3166-2:BE","Belgium","BE","present","","2011/2017"
299,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1911/2000"
300,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2011/2017"
301,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014/2015"
302,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1951"
303,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1911"
304,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1909/1912"
305,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1924/2017"
306,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1885/1915"
307,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1920/2017"
308,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1979/2017"
309,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1886/2017"
310,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1903/2015"
311,"ISO_3166-2:BE","Belgium","BE","present","","2005/2016"
312,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1903/2004"
313,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2000/2016"
314,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2000/2001"
315,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1892"
316,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1859/2014"
317,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1858/2017"
318,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1930/2014"
319,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1895/1963"
320,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1898/1949"
321,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1902/1940"
322,"ISO_3166-2:BE","Belgium","BE","present","","1866/2017"
323,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1876/1877"
324,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1908/2012"
325,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1850/2016"
326,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1897/1965"
327,"ISO_3166-2:BE","Belgium","BE","present","","1850/1892"
328,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1940/2016"
329,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1893/2017"
330,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1953"
331,"ISO_3166-2:BE","Belgium","BE","presence uncertain","","1850"
332,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1918"
333,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material","1872/1983"
334,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1886/1953"
335,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014"
336,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1877/1944"
337,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1918/2015"
338,"ISO_3166-2:BE","Belgium","BE","present","","1850"
339,"ISO_3166-2:BE","Belgium","BE","present","","1954/1955"
